EMPLOYEE_ID|EMAIL|HIRE_DATE|JOB_ID|SALARY|MANAGER_ID|DEPARTMENT_ID|out_DEPARTMENT_NAME|out_Full_Name
100|SKING||AD_PRES|24000|0|90|Executive|Steven King
101|NKOCHHAR||AD_VP|17000|100|90|Executive|Neena Kochhar
102|LDEHAAN||AD_VP|17000|100|90|Executive|Lex De Haan
103|AHUNOLD||IT_PROG|9000|102|60|IT|Alexander Hunold
104|BERNST||IT_PROG|6000|103|60|IT|Bruce Ernst
105|DAUSTIN||IT_PROG|4800|103|60|IT|David Austin
106|VPATABAL||IT_PROG|4800|103|60|IT|Valli Pataballa
107|DLORENTZ||IT_PROG|4200|103|60|IT|Diana Lorentz
108|NGREENBE||FI_MGR|12008|101|100|Finance|Nancy Greenberg
109|DFAVIET||FI_ACCOUNT|9000|108|100|Finance|Daniel Faviet
110|JCHEN||FI_ACCOUNT|8200|108|100|Finance|John Chen
111|ISCIARRA||FI_ACCOUNT|7700|108|100|Finance|Ismael Sciarra
112|JMURMAN||FI_ACCOUNT|7800|108|100|Finance|Jose Manuel Urman
113|LPOPP||FI_ACCOUNT|6900|108|100|Finance|Luis Popp
114|DRAPHEAL||PU_MAN|11000|100|30|Purchasing|Den Raphaely
115|AKHOO||PU_CLERK|3100|114|30|Purchasing|Alexander Khoo
116|SBAIDA||PU_CLERK|2900|114|30|Purchasing|Shelli Baida
117|STOBIAS||PU_CLERK|2800|114|30|Purchasing|Sigal Tobias
118|GHIMURO||PU_CLERK|2600|114|30|Purchasing|Guy Himuro
119|KCOLMENA||PU_CLERK|2500|114|30|Purchasing|Karen Colmenares
120|MWEISS||ST_MAN|8000|100|50|Shipping|Matthew Weiss
121|AFRIPP||ST_MAN|8200|100|50|Shipping|Adam Fripp
122|PKAUFLIN||ST_MAN|7900|100|50|Shipping|Payam Kaufling
123|SVOLLMAN||ST_MAN|6500|100|50|Shipping|Shanta Vollman
124|KMOURGOS||ST_MAN|5800|100|50|Shipping|Kevin Mourgos
125|JNAYER||ST_CLERK|3200|120|50|Shipping|Julia Nayer
126|IMIKKILI||ST_CLERK|2700|120|50|Shipping|Irene Mikkilineni
127|JLANDRY||ST_CLERK|2400|120|50|Shipping|James Landry
128|SMARKLE||ST_CLERK|2200|120|50|Shipping|Steven Markle
129|LBISSOT||ST_CLERK|3300|121|50|Shipping|Laura Bissot
130|MATKINSO||ST_CLERK|2800|121|50|Shipping|Mozhe Atkinson
131|JAMRLOW||ST_CLERK|2500|121|50|Shipping|James Marlow
132|TJOLSON||ST_CLERK|2100|121|50|Shipping|TJ Olson
133|JMALLIN||ST_CLERK|3300|122|50|Shipping|Jason Mallin
134|MROGERS||ST_CLERK|2900|122|50|Shipping|Michael Rogers
135|KGEE||ST_CLERK|2400|122|50|Shipping|Ki Gee
136|HPHILTAN||ST_CLERK|2200|122|50|Shipping|Hazel Philtanker
137|RLADWIG||ST_CLERK|3600|123|50|Shipping|Renske Ladwig
